2513258,663221,2801600,1323990
2531366,881424,2593284,1066633
4419,3162,1
4420,3162,2
4422,3162,4
4423,3162,1
4424,3162,4
4425,3163,2
4426,3163,1
4427,3163,2
4429,3164,1
4430,3164,3
4431,3164,1
4432,3164,1
4432,3165,1
4434,3165,1
4436,3165,3
4437,3166,4
4438,3166,4
4439,3166,1
4442,3167,2
4443,3167,8
4444,3167,2
4445,3167,2
4446,3167,1
4448,3167,1
4448,3168,3
4449,3168,3
4450,3168,3
4452,3168,2
4453,3168,2
4453,3169,3
4454,3169,2
4455,3169,1
4456,3169,2
4457,3169,2
4458,3169,2
4459,3169,3
4460,3170,1
4461,3170,2
4462,3170,3
4463,3170,1
4464,3171,1
4466,3172,1
4467,3173,3
4467,3174,1
4468,3174,3
4469,3175,3
4470,3175,1
4470,3176,1
4471,3176,4
4472,3176,1
4473,3176,1
4474,3177,1
4475,3177,2
4477,3177,4
4478,3177,2
4479,3177,3
4480,3177,2
4481,3177,1
4481,3178,1
4483,3179,4
4484,3179,1
4485,3179,1
4485,3180,1
4486,3180,1
4488,3180,2
4489,3181,2
4490,3181,2
4491,3181,1
4493,3181,1
4494,3181,2
4495,3181,2
4496,3181,2
4497,3181,2
4499,3182,2
4500,3182,1
4501,3182,1
4503,3182,1
4504,3183,1
4506,3183,1
4507,3183,2
4508,3183,1
4509,3183,1
4510,3183,1
4511,3183,1
4512,3183,1
4513,3182,3
4513,3183,3
4514,3182,3
4515,3182,3
4517,3181,1
4518,3181,1
4518,3183,1
4519,3180,1
4519,3207,1
4519,3215,1
4520,3216,1
4521,3179,1
4521,3180,1
4522,3179,1
4523,3183,1
4524,3178,4
4524,3207,1
4527,3206,1
4528,3183,1
4528,3206,1
4528,3207,1
4529,3206,2
4530,3206,3
4530,3220,2
4531,3205,1
4532,3184,1
4532,3205,1
4534,3170,2
4534,3204,1
4535,3170,1
4535,3172,62
4535,3204,1
4535,3223,1
4536,3172,4
4537,3170,1
4537,3171,1
4537,3172,16
4537,3177,2
4537,3184,1
4537,3225,1
4538,3172,17
4538,3173,1
4539,3171,1
4539,3172,12
4539,3173,6
4539,3176,1
4539,3203,1
4539,3226,1
4539,3227,2
4539,3235,2
4539,3240,1
4540,3170,3
4540,3171,1
4540,3172,1
4540,3173,31
4540,3202,1
4540,3229,1
4540,3242,1
4541,3164,2
4541,3165,1
4541,3166,2
4541,3171,4
4541,3173,79
4541,3174,1
4541,3180,2
4541,3184,2
4541,3202,1
4541,3233,2
4542,3164,1
4542,3166,1
4542,3170,1
4542,3171,3
4542,3172,1
4542,3173,190
4542,3174,227
4542,3180,1
4542,3181,1
4542,3182,2
4542,3185,1
4542,3186,2
4542,3187,1
4542,3232,1
4542,3245,2
4543,3164,2
4543,3166,1
4543,3169,2
4543,3170,1
4543,3172,1
4543,3173,1
4543,3174,999
4543,3180,1
4543,3188,1
4543,3190,1
4543,3201,1
4543,3202,1
4544,3166,1
4544,3168,1
4544,3169,1
4544,3171,3
4544,3172,4
4544,3173,1
4544,3174,377
4544,3175,365
4544,3188,2
4544,3202,1
4545,3167,4
4545,3168,2
4545,3172,1
4545,3173,150
4545,3174,71
4545,3175,592
4545,3176,94
4545,3178,2
4545,3180,1
4545,3181,1
4545,3185,1
4545,3188,1
4545,3189,1
4545,3202,1
4545,3248,2
4546,3165,1
4546,3172,1
4546,3173,1194
4546,3174,57
4546,3175,1
4546,3176,331
4546,3177,8
4546,3178,32
4546,3179,3
4546,3184,1
4546,3186,1
4546,3189,1
4546,3201,2
4547,3165,1
